feature,category,dtype,missing_rate,unique_values
BVCA,market,float64,0.7437837837837837,82
CLCH,market,float64,0.8291891891891892,67
CLCD,market,float64,0.8291891891891892,30
CLCA,market,float64,0.8291891891891892,64
LBCH,market,float64,0.8162162162162162,70
LBCD,market,float64,0.8162162162162162,28
LBCA,market,float64,0.8162162162162162,69
HxG,no_odds,float64,0.985945945945946,13
AxG,no_odds,float64,0.985945945945946,13
PPH,no_odds,float64,0.985945945945946,12
PPD,no_odds,float64,0.985945945945946,11
PPA,no_odds,float64,0.985945945945946,11
SKBH,no_odds,float64,0.985945945945946,11
SKBD,no_odds,float64,0.985945945945946,11
SKBA,no_odds,float64,0.985945945945946,12
PPCH,no_odds,float64,0.985945945945946,13
PPCD,no_odds,float64,0.985945945945946,8
PPCA,no_odds,float64,0.985945945945946,12
SKBCH,no_odds,float64,0.985945945945946,13
SKBCD,no_odds,float64,0.985945945945946,9
SKBCA,no_odds,float64,0.985945945945946,11
kickoff_utc,no_odds,str,0.0,471
fixture_id,no_odds,str,0.0,925
home_team_id,no_odds,str,0.0,14
away_team_id,no_odds,str,0.0,14
edition_id,no_odds,str,0.0,5
rules_version,no_odds,str,0.0,5
home_history_n,no_odds,int64,0.0,154
home_rest_days,no_odds,float64,0.008648648648648649,211
home_points_l5,no_odds,float64,0.008648648648648649,15
home_goals_for_l5,no_odds,float64,0.008648648648648649,32
home_goals_against_l5,no_odds,float64,0.008648648648648649,30
home_goal_diff_l10,no_odds,float64,0.008648648648648649,72
home_clean_sheet_l10,no_odds,float64,0.008648648648648649,23
home_shots_for_ewm10,no_odds,float64,0.008648648648648649,917
home_shots_against_ewm10,no_odds,float64,0.008648648648648649,916
home_shot_quality_ewm10,no_odds,float64,0.008648648648648649,917
away_history_n,no_odds,int64,0.0,154
away_rest_days,no_odds,float64,0.006486486486486486,214
away_points_l5,no_odds,float64,0.006486486486486486,15
away_goals_for_l5,no_odds,float64,0.006486486486486486,31
away_goals_against_l5,no_odds,float64,0.006486486486486486,28
away_goal_diff_l10,no_odds,float64,0.006486486486486486,78
away_clean_sheet_l10,no_odds,float64,0.006486486486486486,27
away_shots_for_ewm10,no_odds,float64,0.006486486486486486,919
away_shots_against_ewm10,no_odds,float64,0.006486486486486486,917
away_shot_quality_ewm10,no_odds,float64,0.006486486486486486,916
Season,excluded,str,0.0,5
HomeTeamPointsLast5,no_odds,float64,0.008648648648648649,15
AwayTeamPointsLast5,no_odds,float64,0.006486486486486486,15
HomeRestDays,no_odds,float64,0.008648648648648649,211
AwayRestDays,no_odds,float64,0.006486486486486486,214
HomeGoalsAve,excluded,float64,0.008648648648648649,32
AwayGoalsAve,excluded,float64,0.006486486486486486,31
feature_timestamp,no_odds,str,0.0,471
